Year,Overflow,Memory Corruption,Sql Injection,XSS,Directory Traversal,File Inclusion,CSRF,XXE,SSRF,Open Redirect,Input Validation
2013,844,577,153,645,111,,126,38,3,31,499
2014,832,627,304,1099,207,3,266,67,10,48,536
2015,1073,1104,221,776,152,6,249,50,8,46,383
2016,1214,1172,97,497,99,12,88,41,16,33,535
2017,2494,1555,505,1500,283,155,334,109,57,97,975
2018,2100,1748,504,2043,573,112,479,189,118,85,1285
2019,1213,2057,554,2389,491,127,560,139,103,122,927
2020,1222,1904,466,2199,441,110,416,119,132,101,831
2021,1675,2564,744,2726,557,93,520,126,197,133,702
2022,1881,3420,1790,3407,731,102,769,127,234,149,826
2023,1569,2481,1860,4417,697,117,1171,127,199,142,697